scrape_date,title,price,brand,category,variant
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,589.0,Microsoft,Konsolen,neu
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,569.0,Microsoft,Konsolen,wie neu
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,549.0,Microsoft,Konsolen,sehr gut
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,539.0,Microsoft,Konsolen,gut
2025-01-09 10:49:40,Microsoft Xbox Series S - 1TB carbon black,443.72,Microsoft,Konsolen,neu
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,481.99,Microsoft,Konsolen,sehr gut
2025-01-09 10:49:40,Microsoft Xbox One S - 500GB weiß,321.47,Microsoft,Konsolen/Xbox,neu
2025-01-09 10:49:40,Microsoft Xbox Series S - 1TB carbon black,399.91,Microsoft,Konsolen,wie neu
2025-01-09 10:49:40,Microsoft Xbox Series S - 512GB weiß,202.17,Microsoft,Konsolen,gut
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,401.72,Microsoft,Konsolen,sehr gut
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,497.17,Microsoft,Konsolen,sehr gut
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,435.21,Microsoft,Konsolen,sehr gut
2025-01-09 10:49:40,Microsoft Xbox Series S - 512GB weiß,285.81,Microsoft,Konsolen,gut
2025-01-09 10:49:40,Microsoft Xbox Series S - 512GB weiß,397.59,Microsoft,Konsolen,neu
2025-01-09 10:49:40,Microsoft Xbox Series S - 512GB weiß,423.98,Microsoft,Konsolen,neu
2025-01-09 10:49:40,Microsoft Xbox Series S - 512GB weiß,257.02,Microsoft,Konsolen,sehr gut
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,410.02,Microsoft,Konsolen,gut
2025-01-09 10:49:40,Microsoft Xbox Series S - 1TB carbon black,439.37,Microsoft,Konsolen,neu
2025-01-09 10:49:40,Microsoft Xbox Series X - 1TB schwarz,458.07,Microsoft,Konsolen,sehr gut
2025-01-09 10:49:40,Microsoft Xbox Series S - 512GB weiß,253.4,Microsoft,Konsolen,gut
2025-01-09 10:49:40,Microsoft Xbox One S - 500GB weiß,169.48,Microsoft,Konsolen/Xbox,gut
2025-01-09 10:49:40,Microsoft Xbox One S - 500GB weiß,162.37,Microsoft,Konsolen/Xbox,gut
